2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:74aead58bec930a2f7811a4d8b21df1540c7abe2cb6de9a8c72bd9bdaf59df43,-0.047261634767885141,-0.047261634767873151
0:b483780340449ff0646c248ef7575b10567c69c1b3f60eb9c6dd2917848a92eb,-0.015310698188272909,-0.015310698188285343
0:04c985f073d604af3f713567f31c75ab3b7b24e33881fb93f630dacc3bd4aef4,1,1
0:91a5c999138c243866e3912b1f2a47ba396c1c125a60b3304ec8d7d056276628,1,1
0:0a74dafd449912b5dfaddf659f56f82dfb125fe419ec7206b6d8341f0e13e54a,-0.0012709064470026732,-0.0012709064469995646
0:781254b78861548496ef6eb6f6e3e52d2433677c1a421a8dfee721bee58dcf2f,-0.0022327165034874419,-0.0022327165034967678
0:99cc1f0ec1b6b7cad279e67c03918649c5c2e7d272781f3125d1d4131f4f1bc0,-0.028872495699832079,-0.028872495699853395
0:3ba6ac6bb1ba1ced8e5112ba89412a782da3abe6edb1bcab1d64b40aaf75f836,-0.0075911753825668171,-0.0075911753825317341
0:50e7ff93be2e5bde2d6b2659b96cf733381c911301761f9656a25f53c8605f77,-0.026751712981734954,-0.026751712981758047
0:e6b994719d192d252c6a1132c7a92bff62dfb628806f4c668a747f6de0518176,-0.011235955056193792,-0.01123595505619468
0:d5e2ec818aad4a06a80a1ffa145daa7dab201c09e5f24e2f399ab7dab599d6ed,-0.035125554436827855,-0.035125554436865603
0:da968d221ade759c2f036cd29d81f8bd6e9a5d3727edee4f4d8c32c76d4c881b,-0.10798978475020027,-0.10798978475019316
0:7a81670b0cb431927531669e35bbc9e51d0772705f3ff14bd53f0df6e2d9ae23,1,1
0:3885a0030c5cec1dd01441b7d13ff39ab42574efa6f1ab43306c3c182fa6ebee,-0.16103405618668587,-0.16103405618665878
0:4234a8e9ff05c7741f0b9e96ddcc76088524f5e79a72802b1251a6d309ffe242,-0.018537480998475075,-0.018537480998479516
0:b8c0156d6d97ed920937cbc2822eba35fec3fe7e57de1cc0eb0a3b7cf3868563,-0.072079652222714063,-0.072079652222711399
0:6a4521b1b34ee24abaaa703d0f36b283e21308ba8fbe3bbe717d4a17729d2f12,-0.4549023844910316,-0.45490238449103249
0:19a47b8191ad0f628cdcf683ba9d1a39f6c2dd9cad2ed44dff63c9505f155f6c,1,1
0:ec420e6642e9ab5944f38cfa0830dfb1f9ae2964c62e09a5525084a5e1cf4ec5,-0.3884440891688925,-0.38844408916890405
0:fd91bcf84fbd2ac2c766afca6307f90715aca7a7eb3cc72afbf42d289df31968,-0.40359820122794154,-0.40359820122798551
0:d932c3349fffa54d4a97b95164d656744b7a9648926edc1adb9d675ccf1f967a,-0.62520861949268181,-0.62520861949274087
0:80494ef9e017858f58029c65b05be7710e0cda4ef5ba0ac713cfe9463a554286,-0.59505910270222451,-0.59505910270223605
0:74a5d789d0c3af7887c539d8301aeedc1995f20fa36cd9f4a6604b7a9192faf2,-0.002549204561063334,-0.0025492045610260305
0:7acda18f05878bbd0aa918daf2c8e7edbb12809998040060424f157e01f43a38,-1.2881533667125069,-1.288153366712506
0:9b4940e9ac1177019ad6ef1b9b6f08cd434cc0372b8cf209236e89a13d8026ca,-0.018599276146468835,-0.018599276145800481
0:93847c0344c78eebddcd62e3adf09230837e15449df937a816a4b5bb2f767a30,1,1
0:a4cf8d66d6cc63fa0971eabddc618ec4259b39bf3b065af6c09c15c1f0728cfd,1,1
0:4c965aa5761a7d3ba605a3778ac7a0670619f1b3154713c599fdb5fc20565097,-0.0060121229446661317,-0.0060121229446998825
0:757940597c4e66328643f6e87c06b5b1c326be4c989ac7fb5f0618edbb16ffcd,-0.42037012421166953,-0.42037012421165487
0:331d9c291ff8da3038d5afb96dd477e0e875c2fba25fdba99a5d1bf9d0f4e588,-0.022398199295633248,-0.022398199295721177
0:b610df1654ba1d5893c1162b099695b5c895750d3c7337129ce16fce148c3f6d,-0.029250591760180744,-0.029250591760184297
0:79ebf5947441edfd7e6512e2e8b9c1106304da4b3f2094b0910c53f222507a2f,1,1
0:5a3d3642e0572f9ff29be43fecf45b219c6a71042f50c69af1bf3262d1d1644f,-0.0050811505547878602,-0.005081150554782532
0:23a0f2d8289eeb020636add02f3acabb558edc6e07a5ccb7b40c107fdf690a5f,-1.2011047922434606,-1.2011047922434357
0:616ec398a60b7899b41338c090f4fd481adfb77725fd804dd7287f11cbd56ca8,-0.018343023858541585,-0.018343023858547136
0:e3e1478aa6b19e1cdfaa9ef42c511ae5d40e7128f836115a0a5027caf876b035,1,1
0:b8d6b5bdac3fedcca41b37ab2c0207a8dc3647b200fc85da0d06feb0f3a368f9,-0.18298823051482771,-0.18298823051482949
0:63cc94728fa04ab35c8bbc0600b3207b16bec6165c8bd8855a07f908bbed0f35,1,1
0:0002f6f4e49be0e2b1cb5aea0e4466a4b8c99741600a40f694b9fb321ff27d36,-0.24051108531131959,-0.24051108531121745
0:0ba5dcfc831186c19cb0a48c5ac56daa6cff6996c346a7eb44148ef272d4f625,-0.26131214986643947,-0.26131214986644657
0:4c57b79682dfb655eb02d6e72b55de6b03187e236de4c68acff358edfef7f0b2,1,1
0:79d18fbd66266d4489153b1c3b3f9595da26b83bea3b3fa699c88038ca4928a0,-0.21423567496414275,-0.25220563923975448
0:2f1bf6b902ef0576472cb974e1663a75bfd18718c5f680b3e3ecff703ebe0c6a,1,1
0:4b29838df293b65e513d0441e038e0da8c7f886edaf1a5a122a5ec6cd7890779,-0.024999064633817625,-0.024999064633847823
0:70ee451500122e437fbaeaacb1c2bfc2f9c56e5574f1151611dfa4c1a39982ae,-0.0080951438104648332,-0.0080951438104470697
0:3e41c963f771462587c06b2edf1ac8652f68d1ef2aae3e6702688a45408ff65f,-0.21932372896247809,-0.21932372896248697
0:4f5cdedd20453fe83465134704eef2f9089f377c2fb96b6b16f032af52cf603a,-0.56529921690506146,-0.56529921690504548
0:15594080604eda613142bccf616df1e2c894596c1b84cd371c2ffd2ff08f56d4,-0.10479847796638708,-0.19435750494165926
0:732c76550e9e18e55cd887ed94ebe462f6c7c7b96c4bcae0cddf943c69308e00,-0.50346920331711698,-0.5034692033171817
0:cc1a136d447138cd6aa0fde9e4c3102b1f5006e3e16caa7c949ded416f21e3cc,-0.044415467495531047,-0.08237218336337726
0:5a8855213a22d0cd815bc55a72dda79fc9c78e78a7d129b986db351b75d95dbf,-0.048172815759343734,-0.048172815759334853
0:ecae072f29ff6893752365dec1c3e2799862d4ff901888c9075e6aa3cb8452be,-0.0098126868091981106,-0.009812686809196336
0:55db1463af32d83fe64025f20a2378ef56b6ebd11ffeca85c10ec073ef7789d1,-0.068763363876368194,-0.068763363876357522
0:e70f41cf6c85925ac9f6bc8cd465484da0c65332eb676291bf1d39d825cf9e29,1,1
0:4ae9969a9a490f9fea09ffe89511843f01a690b40fcd8d5a53e7f9e432cb2468,1,1
0:68e33b4e82975b99341fa315756ea3a4fa5eb3b7c4937924e1d0952429334c1d,1,1
0:bb7646cb4edb018b906c66c2b6c0679b72f22c93f3915406d0918ac15178693e,1,1
0:7d7d930583fefb6f0148b9c6526048bab68e0cc49e7439e10e091644ab58ade8,1,1
0:4c00ab268654bf3ce0b327bdc447d05a317e260e4b0e60a12181783220ea99e9,1,1
0:6fe0d76d4d979a117e758c2b2e917d18f10e8a3f48b19223c96ded4a773e9057,1,1
0:37afee3650764a1a34682a1f17b3cea7c1149a038d155331af63477883c9a7f9,-0.027050057013475737,-0.027050057013418449
0:e71e83c1a875f108176dff337c2a6977d6b9a31ff7adfb83e7e9cb74d24b6912,-0.093948352433033122,-0.11025840155859612
0:825adac003c0f7041ed3ecf3714460119e7794a00879c954c7c29859fe348764,1,1
0:f86a85a971cb0312081aed078e95da3f50925f0bd219dbb6bdd5ffd08b1ae6af,-0.0049014743806909955,-0.0049014743806972128
0:3c6e48b80aa99cc3c0ef2e2463cb89617f9da2e48de5c743eeb3a6f170686303,-0.3160403389865607,-0.3160403389865527
0:ee973748d769608542ef153586586c406113e6bc7cde747d206a1f103217e42f,-0.058216488114121397,-0.05821648811413116
0:e1fbe2aff884afdf4f35eb39b7bc62a258e9735d04eba269fc36a59ebf665434,-3.9751585002356649e-05,-0.040026257892287198
