2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:00a799d8de1de30ceb4e482f09b87ae2387cf38deac4bb330dac13834fe247bc,-0.003269817492498106,-0.010619039329400337
0:e8c6c531093dc98e9a1396342a6c3c8a956832e5688b1150f703931c3a44e198,-0.0031568980181191364,-0.0060251988617388008
0:38b5f1e9f2727d545fa9ccf46a048b9ada9b9d65c0f4de70d7a45364974cd657,-0.0060559763766647734,-0.0088092449694032737
0:267448d0d988a3feb718f02fa037a126ffe316b4c00c0be3920f64085d929e73,-0.0084071238978591367,-0.0090884196554243957
0:17816bea5d89fab78019bbda844099d43e6397854812df3a696fbeda932e71f3,-0.0040227036405546803,-0.062906790298979054
0:8edfa76ee16d685526cbdcc16a43cbfa6d553c4b2b7c4e4e7a4632cba305a99f,-0.0062193944189239403,-0.0066916711907332171
0:a803bfca0322acc4fd7dded75683c36ee62911dcb9891a239ba38f67af151937,-0.003031431935616169,-0.0097967366085116581
0:7dd90b75dba5a087c92a6e353360153f76a4676cb313075ed8a5d4bdbb6ebf59,-0.0076791847329467098,-0.0090599663115602524
0:307eb08aabc550f8398c60f58fd3cfdc1036d4cac6acf6ed14db38d5a9b350f0,-0.0062493514154375873,-0.0067358348531207923
0:aac4ef1f557152170b32e556480b01b4605140ab44b35b8c27ac20bdc6571747,-0.0072336565270685327,-0.0076456938432150068
0:ba2d6aba6fee2329550a93da40ead389a0ab73b1fec905a1abd3cb14d4d1ccc4,1,1
0:d14d64ff0ceb3fd5b9c49e9910bf9572492ec7edc0cb4dc919e46e88dfb2f21d,1,1
0:2400d03502b9cb69da8262247522891c778a728484f02730969f8397c4dc0ca8,1,1
0:c07e1760a38bdba88a3b29e32f4fee0f0d92cbfa458faa35acf09521d7648e0f,1,1
0:0bf7e281fa48f8395759c4c5e14289d045dd535303180d27d244ef8053dfee48,1,1
0:9b519fbf473a51acf9b3a9ba456b0de4618462cb42088a14bee645183c5381df,1,1
0:3b50173e181e94119780f33a22b32acb1e682f9f910624512b2ebe15b93ed5d1,-0.0025112279266479298,-0.27084009410461718
0:545c91b8f25fc81a481035ee295360ce12741b70d8442f6d7e7b41f925f38089,-0.62876079763246251,-0.84789096366806582
0:bb825ff9d249f90111fed0500cf95ca43687e3af63f05888e6687b101d6487a3,1,1
0:6ecbb78bbe6545f86fe68773ffd8f1d00c55f45bbb9fab1918c31c58dbfeedad,-0.2998576623266489,-0.4994985747846914
0:5b25219f30b69819aa6a9641b0abc6b419360269f7698f32af0b9aa66b9e0f4f,1,-0.3427586044690587
