2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:d40ff4b2c978328f25fa71c865858393b677b8bc4895d1f5ba718fe31f1fc57e,-5.1624274664535701,-28.584455423065119
0:ff9cae4cf7d384f321b6e2bb4b043e577fe83d70e7fe029a87d2cb5dfb99fe19,-5.9861515797506524,-39.742483629804617
0:4f1e94f0fc53f23003621757666acd68d4a424bfaeed62b779fe9a64a2779000,-5.9857873550595428,-38.878941075144837
0:3dd960501885e24d40a34c07385cfe24530fe1cb09f867c7101ba58cb6c28291,-5.985164530837463,-38.173378014797237
0:e8b50e4e89d055244fa010a6022e709c9f535a92d80266e77bff223f9b77702a,-5.9339797238162735,-36.986864289421597
0:460af067038a44cfd7c01ba37e827d4bac92392c24606b7bcd34f7468b6b687d,-5.9848990110376201,-38.387973494457654
0:1a6afbf39809b47d3965e309ff5f75149c93e4028e7c6935f1cdaff86578efae,-5.966778492732594,-37.836704456517268
0:392984a6fb982c834e42996ae24fef2114c70e340e1b685264f4ff4256dbe487,-5.1605851880002822,-32.280748436608683
0:9fb4219ad4107d3cd4426ff59e70c44ce4a33dd4157226fbd890b4615ca4f259,-5.986556273851928,-41.985850192433304
0:61310db675546d5f67a3f187cb75d049dfaa048c1a5c5480e1079ba602b16eb9,-6.4138382597734331,-46.757217023221578
0:acc499e9412a7648096dfe022b4ef4cb5c064aa2adf1fd64bca77f5935fa2e2c,-0.32378312598576042,-18.516082268866541
0:2c7743813cbe01bbf4b66c904df89a3eae269bd9355fa55481ce5182156854fe,-0.0077607152007139746,-0.065749911977233566
0:7cd1a353ebaabe278bbd2bf2cd90568c942dcf69ff7692a28c88803f1f0a1da9,-0.0010457755443669114,-0.019543546193776962
0:d79ab5d843af03a979358ea4fa2119ca8470982eb9282f4f770839ea16e9a9ab,-0.00074922391005016742,-0.0018546910042029907
0:a37347ed88f2629220e2e90d518e58f85e7575ec30d238f2c10b0d63772bf0df,-0.032314785270234125,-0.86256424427132039
0:bdac274f4db335e5c996b65fd8e3bbe14e3fcae0c54ae8d6a2962300c868bdcc,-0.39979263702951151,-41.833394085053378
0:0a18d132aec37f908e77ebfeecdd58f7a8fd57f2ce4958fecfae43e9bd398a42,-0.0068505396134472818,-0.044009727589781278
0:280ef5c7acb1548a07ff75b7eb89639bb4d6a5448da758a1c52ac7a36e9de040,-0.0010955645508676781,-0.0027120513494338638
0:3a6f4b31b7c02ca9668d4e62c17cfe632c1f0adc5a4140b5cd9fabed938dcb1c,-0.012081907939958114,-0.088467983324575172
0:e927ef392618b68b78875ce3c7dd7edb1ffb259f12538f901476b0f7fb86a855,-0.1208622478098107,-3.903838128968026
