3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:d9f361f5f2d514859bdb4b3969bcce68949c6732017029178fea9df854e2a096,-23.300790846506146,-19.570904588181083,-83.004828538650472
0:5c8474b58b0020d76c848149ca58a4fa6196c9cc890812985033b28bdf52719c,-49.327805562258419,-68.891812887681752,-84.17633104018897
0:e2b2a11183af0fae177c22950d8fe93a89db7afe7afda2a372e2b4c10119b837,-23.689285609905205,-24.136476150779039,-81.194449867023025
0:379e792440c65a5a7650eb7f0b3cbfa1e93d94773361599b0c2434d78c44b3d8,-19.744382125178763,-30.450708989546687,-81.504995579133649
0:93cef61f2245f65ce23290d77fc32098e73a2a69e110f7519ca2f505763ea6a6,-20.025541209451735,-31.275585532603067,-78.452646288138951
0:9772d1bb1f405b009668b0cafeeadf263e7fcdb535906a2c961bd3e1d7087355,-37.153073085314126,-16.845764143231786,-81.662393162393002
0:d1cc48ffb759c6fe850589dac51436df5605c85810f15d7b2912f57901f82b9d,-22.648549632469983,-11.670615857327441,-78.943516352160401
0:b61e6c4cfb3387568a080d5bb9602ea2a013ab1a8b957d54270cdb1a8fb154a7,-23.0625661936961,-91.895629235022199,-81.408655068563036
0:977b21fb2233fe2cb186437e65d17684fc1865740a091527db2542caf681ea9a,-55.381931159601635,-37.490929435046176,-80.977376967814536
0:82c2912e30544d3f97416772a53f0b1cd4b83cceccd7ee262b98f639ca0faf29,-31.643032467979857,-54.739743395347432,-80.349599260269741
0:2788575bc83fa1b04e1bcab9efc454f88df535dca69bb6352afb669a936c6c61,-17.603062267843814,-12.493789173246356,-39.862453475194421
0:8e93b2a77dd55e097069d7256a0812618490acba5ffcdaa86c489b46aef76e33,-15.527793620410117,-12.836208424117711,-39.532769601346921
0:3cb9860921ffd149cf23542f0a0f3dd28495a23e310f43113fbac364554ab171,-15.898933971980561,-15.287039171715946,-39.574581072435571
0:0c0d602cb102c90c69da01157225c6300c2da9d7dfd9127238df5bb9c250dfb0,-14.320047418347182,-25.947279956487542,-39.521913988020131
0:28ea7765b40fa0f20cd7c75dd47d13d6a28466474da81ef3c13b30aeb9428e36,-14.051877888027132,-24.421015295524722,-39.101859720322032
0:cca38e176516126e4e83f477c35d609e608ff01b6958899c63806d1ff35554b2,-14.600310575762824,-10.610779937857496,-40.302430102081857
0:ba5d09e3c333922d8abf5af5fdc68e04efed12f20c02127183250e2e2ca7143d,-14.610699193096476,-13.559700694804414,-38.999267649643528
0:165b63c65251cdc23ee247ab5bcd73a55d02a14be03eca5fefe30340df110ea0,-13.317890387041723,-10.755500164491719,-40.776318888589103
0:e45fb526bd1938f5785d15687b3009b4f5c8ab2a9e73386f0736161a2b040672,-13.915315505600752,-18.763792838351719,-39.745103903267001
0:9a9a030d62323557ee0831ee9bf70cc7420b7adda3b00be81d4c33771df4bf27,-14.524489688036001,-28.364333903458618,-41.039848236596626
0:39fb13245c779f7fa521e4582d3ff8daa34c83a37e7406c2beed4ae5ed57e044,-25.711403873738085,-18.686049105320095,-63.94273922489738
0:09f9ed3395c30ef9fd0ef30773f1f46f328ba4d48c538acd080db32933407706,-18.2002680771398,-18.9032458673713,-63.783683451755671
0:ac9528273924dae1c51397212afdb1e1578f01ff2e2542acd8f813a132dd4587,-27.305917649817509,-22.317016591455683,-66.654535533120367
0:8a10cdcc03307a5e0146018abbfd3ea6d32aca2cce6bf2cafda3cb33210dcd76,-26.937926614665248,-20.662248290276814,-66.180864589955107
0:2be49df95d7b0b4db88bd82d9447baf9c76422a8af2b80f0e3789a36ba2777cf,-22.730334972828871,-19.01355956241299,-64.042776801406006
0:4ec4c1eb6b80635655365a3d77285d40f772403eaae03ce60b907cb9e83247fd,-21.354063151951131,-18.115847564493379,-66.117375754718623
0:ec8e6a46bb298d8fa5a77ee1af99db5614108834b1a302f47d11872f413002d7,-24.329507149888382,-18.710839652571043,-64.213203119271938
0:3eba89ff1853a346f96ba9ebaae70bade614c70b9066f46eab890b59c79a074f,-26.104882849073284,-19.092275301973402,-67.752007843931693
0:35b362b05564c9fd7b41726b8b487f0032e57ceb7896cf1b64f58712e989f9e9,-27.920638561838274,-20.079060290025673,-63.686372496814329
0:14bdf8689b5908514afa83cdda8e0d640ea9f48f3ed8717b22f4cd2e25b187e7,-24.930523308713315,-18.921301908497401,-63.169440470742124
0:d0757e7f05a3a71a545adac28460168b5469a2d45ca97afc1960f94793a88b71,-28.04044331922676,-11.990288879726505,-101.29224322483829
0:74486cd18c7ee20088fe3749843dd3d5977a4d0305b824f8b42328d62c98f395,-18.403728089238101,-18.538454220332198,-100.473264137828
0:4008f001f4dd0d5979bbc13ccc77f8fa39f1c08fac9a44dced14be69661e705f,-25.207186121917946,-24.606536293869699,-99.853701496746197
0:b92b888de7efc2b615560580c7242f9be6e7ccb60311740e8ab11c503ff08e46,-24.722850425888851,-23.063951246737819,-100.26470099633514
0:1104e34368a81c98701409a33918cae0df7988ea0d3c2a9bc0af4d3325a37475,-22.565670627306702,-50.678329566017837,-99.590611899875498
0:340a604b16f43ba874ea12c9b509580e1364f3ca82218e46232c5b01297287c8,-24.840280392657036,-22.760679915812929,-100.6437487442488
0:53c7c1e2227eab1eb2e80d7418560abee8ccbe3cbb87b9f2017152c8799bb49b,-23.675264188934595,-20.991913635956323,-101.07392318361613
0:5595952ef43d56ad327fdbfaf345e938c0430c8f700e650cc53247360d7b67b9,-27.414763537739987,-29.244270771088992,-100.51455815475518
0:f42ad1464c8e927dd6e50287353e7acd482bf6b8f1edc326be82859d05236cfc,-26.346583584536948,-27.291171884251092,-100.77627837247988
0:039687b10af538bdfcbb29fea311f83b094b537c789748ebf0b8a87497a26df8,-29.76942674672808,-25.05612922693394,-100.79939146494974
0:bcf7ac792b64849e68dc22ab553623b7350ea3d2149ac703afb41222fcd68d69,-52.688510351628672,-79.626973543673301,-103.33081619171935
0:badc65f113297aab601353f52ffa5f14e0ea33c876650bc4c0f89d1a494cd332,-48.818562711603285,-85.774295901562837,-107.604404120559
0:b47d2d727523d0538665ae98d88ca1faaf8bb902e3f3a832a1bbce70a6e1e945,-56.097676442417701,-84.982066748322225,-104.60283649751557
0:0eb8ddf0afdde58cbd04a331ee90609ac4719a526bb98aaaa4b68ac0efe2ba99,-44.437675027390803,-83.489547759348625,-110.26867413417732
0:e7d09ffe21e684d415ca18c2d135d74a54074bdfe9863f930e279da358afcb16,-53.011800929745064,-93.122553920670001,-115.26883353960383
0:f68c0c44e69b5cfea08f93bbe08808f18e5a833430732a86c4703aa2d15e3085,-48.031350819317929,-73.972553186659624,-106.41415971271995
0:f44be4f2646b44af306e0fb0341d9003bf16c32fd01c7a46f07028bc1e1a5641,-49.090333790766451,-55.450303504764889,-103.2686282370754
0:fc7b8f5e07e0db99c0d02f06691c3248a94a9df7265c985994624789a80be973,-54.424782788307219,-73.728381159365796,-110.79954491551405
0:ee05b3628b4949c6b227a7b5f4762df7aa43d0b1fc11df15ad31d6eac3a83684,-42.098542833318064,-88.779123462252102,-100.97891235338312
0:d6d99d0b06551eb04c47effebce6732bf459566d97a14c83cb7e13158a446b5c,-44.752138005697184,-80.3432542118898,-106.2491825143475
0:f5d10527342eb67c7eb0581ce6a29eaf418f7966ca7cfaf9d1d9adc3bdfcabbe,-33.485321648449471,-84.913471790595906,-95.077386199500296
