2,My CPTP MIP pricer,BaPCod
0:74aead58bec930a2f7811a4d8b21df1540c7abe2cb6de9a8c72bd9bdaf59df43,2060.619194150755,1.0026300562832045
0:b483780340449ff0646c248ef7575b10567c69c1b3f60eb9c6dd2917848a92eb,3178.8707068557292,1.0026603527627764
0:04c985f073d604af3f713567f31c75ab3b7b24e33881fb93f630dacc3bd4aef4,2291.456705964124,1.0026732964418426
0:91a5c999138c243866e3912b1f2a47ba396c1c125a60b3304ec8d7d056276628,2734.3422372437858,1.002725686873092
0:0a74dafd449912b5dfaddf659f56f82dfb125fe419ec7206b6d8341f0e13e54a,1723.5397116577096,1.0025837122778007
0:781254b78861548496ef6eb6f6e3e52d2433677c1a421a8dfee721bee58dcf2f,1966.4589438560861,1.0024179118912908
0:99cc1f0ec1b6b7cad279e67c03918649c5c2e7d272781f3125d1d4131f4f1bc0,2162.8683621285422,1.0027643400138218
0:3ba6ac6bb1ba1ced8e5112ba89412a782da3abe6edb1bcab1d64b40aaf75f836,1542.5693934698093,1.0027186472011529
0:50e7ff93be2e5bde2d6b2659b96cf733381c911301761f9656a25f53c8605f77,1575.8566383183115,1.0028254174554292
0:e6b994719d192d252c6a1132c7a92bff62dfb628806f4c668a747f6de0518176,2026.3617848906672,1.0027784723958768
0:d5e2ec818aad4a06a80a1ffa145daa7dab201c09e5f24e2f399ab7dab599d6ed,122.31351772497078,1.0077911959485781
0:da968d221ade759c2f036cd29d81f8bd6e9a5d3727edee4f4d8c32c76d4c881b,92.553468093539436,1.007927070947285
0:7a81670b0cb431927531669e35bbc9e51d0772705f3ff14bd53f0df6e2d9ae23,116.53899208401913,1.0078376048279645
0:3885a0030c5cec1dd01441b7d13ff39ab42574efa6f1ab43306c3c182fa6ebee,98.908963911525035,1.0077609623593324
0:4234a8e9ff05c7741f0b9e96ddcc76088524f5e79a72802b1251a6d309ffe242,146.89268884763675,1.0071397972297587
0:b8c0156d6d97ed920937cbc2822eba35fec3fe7e57de1cc0eb0a3b7cf3868563,107.40685575826683,1.0071265678449259
0:6a4521b1b34ee24abaaa703d0f36b283e21308ba8fbe3bbe717d4a17729d2f12,84.346101643794299,1.0075403408234052
0:19a47b8191ad0f628cdcf683ba9d1a39f6c2dd9cad2ed44dff63c9505f155f6c,100.84304673975765,1.0072129255626081
0:ec420e6642e9ab5944f38cfa0830dfb1f9ae2964c62e09a5525084a5e1cf4ec5,107.0812028906675,1.0077706115471288
0:fd91bcf84fbd2ac2c766afca6307f90715aca7a7eb3cc72afbf42d289df31968,91.213677882738708,1.0078070106956045
0:d932c3349fffa54d4a97b95164d656744b7a9648926edc1adb9d675ccf1f967a,2216.4607386328103,1.0015635749577836
0:80494ef9e017858f58029c65b05be7710e0cda4ef5ba0ac713cfe9463a554286,2496.7298216256631,1.0017801830028128
0:74a5d789d0c3af7887c539d8301aeedc1995f20fa36cd9f4a6604b7a9192faf2,3018.3700843922784,1.0019400523814144
0:7acda18f05878bbd0aa918daf2c8e7edbb12809998040060424f157e01f43a38,1522.9019450080459,1.001749107954943
0:9b4940e9ac1177019ad6ef1b9b6f08cd434cc0372b8cf209236e89a13d8026ca,1346.0140329668536,1.0016336399130905
0:93847c0344c78eebddcd62e3adf09230837e15449df937a816a4b5bb2f767a30,2936.2128214554559,1.001750608336397
0:a4cf8d66d6cc63fa0971eabddc618ec4259b39bf3b065af6c09c15c1f0728cfd,2935.1551802829758,1.0018256503879508
0:4c965aa5761a7d3ba605a3778ac7a0670619f1b3154713c599fdb5fc20565097,4097.4468473555435,1.0018821757952194
0:757940597c4e66328643f6e87c06b5b1c326be4c989ac7fb5f0618edbb16ffcd,2562.9317908050593,1.0016730241584688
0:331d9c291ff8da3038d5afb96dd477e0e875c2fba25fdba99a5d1bf9d0f4e588,3662.4915670424607,1.0017923395408026
0:b610df1654ba1d5893c1162b099695b5c895750d3c7337129ce16fce148c3f6d,1795.6233157586412,1.0053256643766308
0:79ebf5947441edfd7e6512e2e8b9c1106304da4b3f2094b0910c53f222507a2f,2142.5457681082517,1.0053064473335103
0:5a3d3642e0572f9ff29be43fecf45b219c6a71042f50c69af1bf3262d1d1644f,1331.7281583909489,1.0052377959354704
0:23a0f2d8289eeb020636add02f3acabb558edc6e07a5ccb7b40c107fdf690a5f,1322.3802783338099,1.0047659898961014
0:616ec398a60b7899b41338c090f4fd481adfb77725fd804dd7287f11cbd56ca8,1279.9980223808604,1.0048234613158402
0:e3e1478aa6b19e1cdfaa9ef42c511ae5d40e7128f836115a0a5027caf876b035,1590.8367299782803,1.0046212856416654
0:b8d6b5bdac3fedcca41b37ab2c0207a8dc3647b200fc85da0d06feb0f3a368f9,1699.4340624543286,1.0048716324840454
0:63cc94728fa04ab35c8bbc0600b3207b16bec6165c8bd8855a07f908bbed0f35,1814.6544650235771,1.0048612123863692
0:0002f6f4e49be0e2b1cb5aea0e4466a4b8c99741600a40f694b9fb321ff27d36,1232.7799147369442,1.0048444918128088
0:0ba5dcfc831186c19cb0a48c5ac56daa6cff6996c346a7eb44148ef272d4f625,1691.9804196436648,1.0045220222483495
0:4c57b79682dfb655eb02d6e72b55de6b03187e236de4c68acff358edfef7f0b2,2318.7761565870665,1.0009656331173533
0:79d18fbd66266d4489153b1c3b3f9595da26b83bea3b3fa699c88038ca4928a0,2133.1226279317698,1.0008884150675195
0:2f1bf6b902ef0576472cb974e1663a75bfd18718c5f680b3e3ecff703ebe0c6a,2112.9842229378951,1.0008799253823275
0:4b29838df293b65e513d0441e038e0da8c7f886edaf1a5a122a5ec6cd7890779,2091.8024898940621,1.0008712015611931
0:70ee451500122e437fbaeaacb1c2bfc2f9c56e5574f1151611dfa4c1a39982ae,2143.9808511208121,1.0008927216404653
0:3e41c963f771462587c06b2edf1ac8652f68d1ef2aae3e6702688a45408ff65f,2046.3505882142761,1.0008932638969532
0:4f5cdedd20453fe83465134704eef2f9089f377c2fb96b6b16f032af52cf603a,1427.8505710399975,1.0008192826361237
0:15594080604eda613142bccf616df1e2c894596c1b84cd371c2ffd2ff08f56d4,1980.593126257794,1.0008247830820494
0:732c76550e9e18e55cd887ed94ebe462f6c7c7b96c4bcae0cddf943c69308e00,1367.4286003076247,1.000878927708196
0:cc1a136d447138cd6aa0fde9e4c3102b1f5006e3e16caa7c949ded416f21e3cc,1046.2192389430882,1.000836694054452
0:5a8855213a22d0cd815bc55a72dda79fc9c78e78a7d129b986db351b75d95dbf,745.62691709268711,1.0111135807957323
0:ecae072f29ff6893752365dec1c3e2799862d4ff901888c9075e6aa3cb8452be,794.19692379398748,1.0116522955022138
0:55db1463af32d83fe64025f20a2378ef56b6ebd11ffeca85c10ec073ef7789d1,1867.5323992994747,1.0087565674255692
0:e70f41cf6c85925ac9f6bc8cd465484da0c65332eb676291bf1d39d825cf9e29,694.55731540565171,1.0113947128532361
0:4ae9969a9a490f9fea09ffe89511843f01a690b40fcd8d5a53e7f9e432cb2468,605.05252589304587,1.0105685901500738
0:68e33b4e82975b99341fa315756ea3a4fa5eb3b7c4937924e1d0952429334c1d,649.02174537790972,1.0095794616342562
0:bb7646cb4edb018b906c66c2b6c0679b72f22c93f3915406d0918ac15178693e,1669.6948214658591,1.0104405930256839
0:7d7d930583fefb6f0148b9c6526048bab68e0cc49e7439e10e091644ab58ade8,4421.5656613929623,1.0025152803279926
0:4c00ab268654bf3ce0b327bdc447d05a317e260e4b0e60a12181783220ea99e9,5791.1080117392148,1.0027428069886724
0:6fe0d76d4d979a117e758c2b2e917d18f10e8a3f48b19223c96ded4a773e9057,5958.4593937589916,1.0024805278563278
0:37afee3650764a1a34682a1f17b3cea7c1149a038d155331af63477883c9a7f9,1992.2513837517381,1.0026232260433883
0:e71e83c1a875f108176dff337c2a6977d6b9a31ff7adfb83e7e9cb74d24b6912,6167.8098246154641,1.002567855583802
0:825adac003c0f7041ed3ecf3714460119e7794a00879c954c7c29859fe348764,3374.0109200743491,1.0025815778603884
0:f86a85a971cb0312081aed078e95da3f50925f0bd219dbb6bdd5ffd08b1ae6af,6520.486221594766,1.0027149566964408
0:3c6e48b80aa99cc3c0ef2e2463cb89617f9da2e48de5c743eeb3a6f170686303,6286.3586737497717,1.0026169104754927
0:ee973748d769608542ef153586586c406113e6bc7cde747d206a1f103217e42f,6127.8721298091641,1.0025512807429331
0:e1fbe2aff884afdf4f35eb39b7bc62a258e9735d04eba269fc36a59ebf665434,6094.8728149181788,1.002537105163009
