3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:896bd6a31154088fe01a062720847cda2127cfb7b617a056bdef4dd7a02400ab,2,-0.02807573248863271,2
0:3bf8e9b06ce309e41403f3f0ca30b14e9f96c05723f3b584f80e3ede1a88afed,2,-0.014037866244310138,2
0:630fbe37a34d788fa34b3e1f69d250553feb8769f3a3b3c0a84d97789c7dfd4a,2,-0.10416816643880722,2
0:a08947e1260d3732dcc817ae93468ba9a6a7b0410ed0f32de16be1af7dea06db,2,-0.014037866244366981,2
0:c9c1855af01965335be570041647e82d96e7ff20a2ae21987791ce212655505a,2,-0.028075732488755278,2
0:cb9134dd35b0962164524a433de9d6aef2d36b866d84329a42946027ab9f66aa,2,-0.028075732489044825,2
0:932b76dcea3dc5cee4e4856892cff2c9ac16879b34038e68e4818cc60ceaf687,2,-0.10416816643884719,2
0:f346cbd17691414eeaa5000f0cdaf7a5491c11b94541fca1ffad967f6afaa69d,2,1,2
0:079e5fbb99f43a0db01a0667071dd1c26f09227b71355a1442c67153a145c7de,2,1,2
0:f4bbe5f9a03f3e17ad159f9069e88a1cea662220816061afa35940620ef3e4a4,2,-0.014037866244366981,2
0:c1b85f21800d4bc52683fa575a69eeba501f75b8ac0710657cb21f0ffbdff6d0,-0.41739471774116588,-0.41739471774287118,2
0:c0537cc692c90b0b235d2806feb2166469379379159b45d966e35b223893a8a9,-0.0007565157035749337,-0.0007565157035749337,-0.00075651570357848641
0:06d913a35ccde73b70bc0be70770e3cfa8425946d4c9061ef353485774b0198f,1,1,1
0:cc93f6ab0e346a2c0ca650d65bf109c9bf17001ae33a15bc6919b13c2fe794af,-0.72615039242026036,-0.72615039241811452,2
0:652db99fd1920a73b6a5dc82e377d8f4dbe069ea60c81c9e2d2c5555d23f5ebf,2,-0.49879781665277534,2
0:5ac774f780f33aae0674929b5c28b0d05c45be831a1e51d317d1b20beab4fb51,-0.49402824324088712,-0.49402824324088357,2
0:e50bb558f8da20faeaeb6228255ae34f07121d61f5789db2d0c70c86542d2c63,-0.0052785482245809598,-0.0052785482245774062,-0.0052785482245738535
0:9b61b5774b65148692234c4219b272c5068370cdc84b6ee54d64c0354be152fa,2,-0.49916513947833252,2
0:a2c747457f72b6db69f64b0c383e4a86c755efd0e51072dfd2110e0f2bd061e1,2,1,1
0:6f27a61a0c06a0d0c1160ed9f05966780e2d89ce8335ec9167fa54d96d848139,-0.39286524072486273,-0.39286524072484502,2
0:a21c35853fd050a5c3cdd7b356dae22bb93d29a5a790ae596102d4eb732f0439,2,-0.10508506463155953,2
