3,BAC MIP Pricer (EFL),BAC MIP Pricer (AFL),BAC MIP Pricer (NFL)
0:a37974c56cef4d05a864d2aa339dfbce94cd7f7c5f859a7ea30966ad4407371c,-3.0363716280195781,-0.27452264146498173,-8.1777625015801849
0:ac1e24e89af5e8b4e70ef6610f0f813d94c5f51bfcf7a827271d581d9db5238b,-2.8687369087445163,-0.13951116486465232,-8.0808883536113498
0:d7476eedf6eb70b6a3e4c7c16ce92d38cdaab34c6da49c8a7d11e0360b68a78f,-2.7103453415271574,-0.010356017612883406,-7.8685606724858781
0:6a6649cd74a1669f2252309677d7cbb2571973d59fbdbeb6e5180226a952e6af,-2.7476235147279553,-0.06513821214972193,-7.9591054171166098
0:62f3ff84ef440f56edd35d4f9e78fc58a4872d6804292eefc4120fca4ead07b5,-3.3466851283917753,-0.41340769473116873,-7.8304399785472638
0:52b7decbdd94f907453863d9b6eece6884fcecc7d9aa25e8f528c5c5e2a93785,-3.264162962823586,1,-7.8523861565517583
0:5a8953bbb5d0f089bdf71170c4574c295c4b6053024a0b4951d4859d9a9e0e8d,-3.0885554292852602,-0.0037235930196075628,-7.6981990365304513
0:0b854e145b94e4651d5b1041c735d567b54cb8821169ae23555598751e63c9f9,-3.1304240663076901,1,-8.0946542569253506
0:cd3b34e9ca4b3af38bb352726609f0f7eec1cd9bf3e40354d840589786803fe6,-3.3449804878729315,-0.0053689868831794385,-7.8929357836761049
0:e6fbc7a2a65a5e9bf7dd9b514697008c5ee7e63b78d743a4fdd35233edd9bb86,-2.6953730623931746,-0.51591491699578151,-7.8974134843566679
0:3b5be534b8eaa8d5a12b9f9f0a7495dc76546fff9a64afcb411f421c06dd5c1b,-0.02742973235730517,-0.027429732357212799,-0.027429732357234116
0:cf5005366e642ded1d7c4d3753a15ae8c2e0047715bcb506346e9a3364140183,-0.093525179856190022,-0.093525179856193574,-0.093525179856190022
0:107662bb8530af8b667601e0b17cf1bd0cad59e9ded26c336b21b49757b416c9,-0.076433121019191752,-0.076433121019188199,-0.076433121019188199
0:8033650f47aa96f697d3d37c1f26dafd2218210ee439124fbf15460e38c4bb89,1,1,1
0:e99822449355e53b364cfcdacdc621e37086ce1df819e31d90dd2944cb89ba1b,-0.025661335663310858,-0.025661335663353491,-0.025661335663328622
0:11ae42d3481a04d729165d7e32442c220ea80ad9841388be5c8a2f60328dd022,-0.4995896081336671,-0.027688870029486168,-0.027688870029471957
0:abca3810aacdf77701e49e79a9569424e99e04bb00e8af0f1eb613127df1b3f8,-0.0030330983774167208,-0.003033098377427379,-0.0030330983774096154
0:88d20ff925e9aa6f465bea7c35f91ebc43ecaa433f842336800f6b51bdd812ed,-0.17338466145351106,-0.17338466145348799,-0.17338466145348619
0:a8b2aa77840a7c18f0c09fcc1775c3ed896f70ea22faf362c47d7893d452edeb,-0.13669064748189899,-0.13669064748189541,-0.13669064748189899
0:a8c09db72890cb7540ae4f9a294463491e2a4c57dab9d01dd6deb8e513f09a7a,-0.70538841945159458,-0.054944823231954487,-0.05494482323195804
0:9959c69fbfcb2af49506850de42c34595abd58ed4397fa780fa61db4aa8e472a,-2.1706403281564151,-0.10239792029735462,-6.1402483563135899
0:7e21349a81fa19339e32c99a86cd5c955bea5cc7afffef4feea3cc77db991e31,-2.2578601116402641,-0.006677265500676377,-6.2187143540085126
0:6c47897b3d51773c6da82b198549b3f2babf5c4177b3fd0d077184377d81e42b,-2.2169898113085673,-0.0087385547122407203,-6.1406190975433752
0:eec87b9b0cc51ebfca968e561f222ffc528a6e9cff8c2f6e47eb01645e28ab1d,-2.271779650343249,1,-6.0780327642222414
0:ad8c17b3d3560ba7c2c4efabb99500d6fdccab0406175f083e9876f15df8445c,-2.0315732589360902,-0.0087385547121385798,-6.1427207887930715
0:7df4ae7aaf3145821e2f74f5adcbfdc1b37f7b9600032e6ab8468ee58b1bd187,-2.1860772656871523,1,-6.2354722111252796
0:09e29529615bbd05c7cbc6002797aeb8df9edd978ca90b0fe18e757e74c3ca52,-2.2117207708794457,1,-6.0429282069529053
0:22acdcdbfb3f72bc94fdd15eb72fb9e08f6209eddeb76393083ec87b2596bb13,-2.3185481054027193,-0.00087385547129414931,-6.2038130175414548
0:469cf31507cddaaa68afda443eba0400a3ff708d02bfd9b4a75b3851776c2fc2,-2.3024108498476727,-0.00040063593006678389,-6.1700011244810486
0:ef545be8e6767a040904ae2c85e5d48b91cfe5babf3c2069d33b54008a7d352a,-2.3014686933576485,-0.043699330074196574,-6.0469937029805845
0:3ae041874514b0f50945f374cc0a2ccd0e0dafa38e215c2038e849834e87c6be,-4.8689053697322571,-1.9268329281473981,-10.488557194047743
0:e4919ef935eeefe03396d1f505dfed1c59c64bb251a4f37704aacdacc1777586,-5.0963727011270148,-2.6265291428543747,-11.340939542305399
0:575186777236305b114bc4b8f015908b1ff8e3ca1be7bfa78953f1089a601138,-5.433603255601346,-1.9553568681661346,-11.078470297305117
