2,BAC MIP Pricer (AFL),libRCSP DP pricer
0:a37974c56cef4d05a864d2aa339dfbce94cd7f7c5f859a7ea30966ad4407371c,-0.27452264146501015,-0.27452264146498084
0:ac1e24e89af5e8b4e70ef6610f0f813d94c5f51bfcf7a827271d581d9db5238b,-0.13951116486465143,-0.13951116486462656
0:d7476eedf6eb70b6a3e4c7c16ce92d38cdaab34c6da49c8a7d11e0360b68a78f,-0.010356017612886959,-0.010356017612826562
0:6a6649cd74a1669f2252309677d7cbb2571973d59fbdbeb6e5180226a952e6af,-0.065138212149724595,-0.065138212149763675
0:62f3ff84ef440f56edd35d4f9e78fc58a4872d6804292eefc4120fca4ead07b5,-0.028466215185847688,-0.028466215185752652
0:52b7decbdd94f907453863d9b6eece6884fcecc7d9aa25e8f528c5c5e2a93785,1,1
0:5a8953bbb5d0f089bdf71170c4574c295c4b6053024a0b4951d4859d9a9e0e8d,-0.0037235930196164446,-0.0037235930196342082
0:0b854e145b94e4651d5b1041c735d567b54cb8821169ae23555598751e63c9f9,1,1
0:cd3b34e9ca4b3af38bb352726609f0f7eec1cd9bf3e40354d840589786803fe6,-0.0053689868831812149,-0.005368986883102167
0:e6fbc7a2a65a5e9bf7dd9b514697008c5ee7e63b78d743a4fdd35233edd9bb86,-0.023765519099169019,-0.051046224386026573
0:3b5be534b8eaa8d5a12b9f9f0a7495dc76546fff9a64afcb411f421c06dd5c1b,-0.027429732357282077,-0.027429732357223457
0:cf5005366e642ded1d7c4d3753a15ae8c2e0047715bcb506346e9a3364140183,-0.093525179856188245,-0.10071942446052873
0:107662bb8530af8b667601e0b17cf1bd0cad59e9ded26c336b21b49757b416c9,-0.076433121019188199,-0.076433121019184647
0:8033650f47aa96f697d3d37c1f26dafd2218210ee439124fbf15460e38c4bb89,1,1
0:e99822449355e53b364cfcdacdc621e37086ce1df819e31d90dd2944cb89ba1b,-0.025661335663342832,-0.0256613356633979
0:11ae42d3481a04d729165d7e32442c220ea80ad9841388be5c8a2f60328dd022,-0.027688870029477286,-0.027688870029480839
0:abca3810aacdf77701e49e79a9569424e99e04bb00e8af0f1eb613127df1b3f8,-0.0030330983774291553,-0.0030330983774060627
0:88d20ff925e9aa6f465bea7c35f91ebc43ecaa433f842336800f6b51bdd812ed,-0.17338466145433262,-0.17338466145342046
0:a8b2aa77840a7c18f0c09fcc1775c3ed896f70ea22faf362c47d7893d452edeb,-0.13669064748190607,-0.13669064748204551
0:a8c09db72890cb7540ae4f9a294463491e2a4c57dab9d01dd6deb8e513f09a7a,-0.054944823231952711,-0.054944823231935835
0:9959c69fbfcb2af49506850de42c34595abd58ed4397fa780fa61db4aa8e472a,-0.1023979202973635,-0.10239792029737238
0:7e21349a81fa19339e32c99a86cd5c955bea5cc7afffef4feea3cc77db991e31,-0.0066772655006728243,-0.0066772655006923642
0:6c47897b3d51773c6da82b198549b3f2babf5c4177b3fd0d077184377d81e42b,-0.008738554712238944,-0.0087385547121670015
0:eec87b9b0cc51ebfca968e561f222ffc528a6e9cff8c2f6e47eb01645e28ab1d,1,1
0:ad8c17b3d3560ba7c2c4efabb99500d6fdccab0406175f083e9876f15df8445c,-0.0087385547122078595,-0.014207493359517542
0:7df4ae7aaf3145821e2f74f5adcbfdc1b37f7b9600032e6ab8468ee58b1bd187,1,1
0:09e29529615bbd05c7cbc6002797aeb8df9edd978ca90b0fe18e757e74c3ca52,1,1
0:22acdcdbfb3f72bc94fdd15eb72fb9e08f6209eddeb76393083ec87b2596bb13,-0.00087385547129414931,-0.0008738554712204305
0:469cf31507cddaaa68afda443eba0400a3ff708d02bfd9b4a75b3851776c2fc2,-0.00040063593006856024,-0.0004006359300499085
0:ef545be8e6767a040904ae2c85e5d48b91cfe5babf3c2069d33b54008a7d352a,-0.043699330074201015,-0.043699330074117526
0:3ae041874514b0f50945f374cc0a2ccd0e0dafa38e215c2038e849834e87c6be,-0.0062967530154125484,-0.0062967530154631746
